# vendors.csv,system exclusive database,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
]Vendor,VendorTable,None,,,,,,,,
,GM,GM.Pizzicato Strings,0,0,46,,,,,
,GM,GM.Orchestral Harp,0,0,47,,,,,
,GM,GM.Timpani,0,0,48,,,,,
,GM,GM.Strings Ensemble 1/Strings,0,0,49,,,,,
,GM,GM.Strings Ensemble 2/Slow Strings,0,0,50,,,,,
,GM,GM.Syn.Strings 1,0,0,51,,,,,
,GM,GM.Syn.Strings 2,0,0,52,,,,,
,GM,GM.Choir Aahs,0,0,53,,,,,
,GM,GM.Voice Oohs,0,0,54,,,,,
,GM,GM.Synvox,0,0,55,,,,,
,GM,GM.Orchestra Hit,0,0,56,,,,,
,GM,GM.Trumpet,0,0,57,,,,,
,GM,GM.Trombone,0,0,58,,,,,
,GM,GM.Tuba,0,0,59,,,,,
,GM,GM.MutedTrumpet,0,0,60,,,,,
,GM,GM.French Horn,0,0,61,,,,,
,GM,GM.Brass Section/Brass 1,0,0,62,,,,,
,GM,GM.Synth Brass 1,0,0,63,,,,,
,GM,GM.Synth Brass 2,0,0,64,,,,,
,GM,GM.Soprano Sax,0,0,65,,,,,
,GM,GM.Alto Sax,0,0,66,,,,,
,GM,GM.Tenor Sax,0,0,67,,,,,
,GM,GM.Baritone Sax,0,0,68,,,,,
,GM,GM.Oboe,0,0,69,,,,,
,GM,GM.English Horn,0,0,70,,,,,
,GM,GM.Bassoon,0,0,71,,,,,
,GM,GM.Clarinet,0,0,72,,,,,
,GM,GM.Piccolo,0,0,73,,,,,
,GM,GM.Flute,0,0,74,,,,,
,GM,GM.Recorder,0,0,75,,,,,
,GM,GM.Pan Flute,0,0,76,,,,,
,GM,GM.Blown Bottle/Bottle Blow,0,0,77,,,,,
,GM,GM.Shakuhachi,0,0,78,,,,,
,GM,GM.Whistle,0,0,79,,,,,
,GM,GM.Ocarina,0,0,80,,,,,
,GM,GM.Lead 1 (square)/Square Wave,0,0,81,,,,,
,GM,GM.Lead 2 (sawtooth)/Saw Wave,0,0,82,,,,,
,GM,GM.Lead 3 (calliope)/Syn.Calliope,0,0,83,,,,,
,GM,GM.Lead 4 (chiff)/Chiffer Lead,0,0,84,,,,,
,GM,GM.Lead 5 (charang)/Charang,0,0,85,,,,,
,GM,GM.Lead 6 (voice)/Solo Vox,0,0,86,,,,,
,GM,GM.Lead 7 (fifths)/5th Saw Wave,0,0,87,,,,,
,GM,GM.Lead 8 (bass+lead)/Bass & Lead,0,0,88,,,,,
,GM,GM.Pad 1 (new age)/Fantasia,0,0,89,,,,,
,GM,GM.Pad 2 (warm)/Warm Pad,0,0,90,,,,,
,GM,GM.Pad 3 (polysynth)/Polysynth,0,0,91,,,,,
,GM,GM.Pad 4 (choir)/Space Voice,0,0,92,,,,,
,GM,GM.Pad 5 (bowed)/Bowed Glass,0,0,93,,,,,
,GM,GM.Pad 6 (metallic)/Metal Pad,0,0,94,,,,,
,GM,GM.Pad 7 (halo)/Halo Pad,0,0,95,,,,,
,GM,GM.Pad 8 (sweep)/Sweep Pad,0,0,96,,,,,
,GM,GM.FX 1 (rain)/Ice Rain,0,0,97,,,,,
,GM,GM.FX 2 (soundtrack)/Soundtrack,0,0,98,,,,,
,GM,GM.FX 3 (crystal)/Crystal,0,0,99,,,,,
,GM,GM.FX 4 (atmosphere)/Atmosphere,0,0,100,,,,,
,GM,GM.FX 5 (brightness)/Brightness,0,0,101,,,,,
,GM,GM.FX 6 (goblins)/Goblin,0,0,102,,,,,
,GM,GM.FX 7 (echoes)/Echo Drops,0,0,103,,,,,
,GM,GM.FX 8 (sci-fi)/Star Theme,0,0,104,,,,,
,GM,GM.Sitar,0,0,105,,,,,
,GM,GM.Banjo,0,0,106,,,,,
,GM,GM.Shamisen,0,0,107,,,,,
,GM,GM.Koto,0,0,108,,,,,
,GM,GM.Kalimba,0,0,109,,,,,
,GM,GM.Bagpipe,0,0,110,,,,,
,GM,GM.Fiddle,0,0,111,,,,,
,GM,GM.Shanai,0,0,112,,,,,
,GM,GM.Tinkle Bell,0,0,113,,,,,
,GM,GM.Agogo,0,0,114,,,,,
,GM,GM.Steel Drums,0,0,115,,,,,
,GM,GM.Woodblock,0,0,116,,,,,
,GM,GM.Taiko Drum,0,0,117,,,,,
,GM,GM.Melodic Tom,0,0,118,,,,,
,GM,GM.Synth Drum,0,0,119,,,,,
,GM,GM.Reverse Cymbals,0,0,120,,,,,
,GM,GM.Guitar Fret Noise,0,0,121,,,,,
,GM,GM.Breath Noise,0,0,122,,,,,
,GM,GM.Seashore,0,0,123,,,,,
,GM,GM.Bird Tweet,0,0,124,,,,,
,GM,GM.Telephone Ring,0,0,125,,,,,
,GM,GM.Helicopter,0,0,126,,,,,
,GM,GM.Applause,0,0,127,,,,,
,GM,GM.Gun Shot,0,0,128,,,,,
,GS,GS.Piano 1w,8,0,1,,,,,
,GS,GS.Piano 1d,16,0,1,,,,,
,GS,GS.Piano 2w,8,0,2,,,,,
,GS,GS.Piano 3w,8,0,3,,,,,
,GS,GS.Honky-tonk w/Old Upright,8,0,4,,,,,
,GS,GS.Detuned EP 1,8,0,5,,,,,
,GS,GS.E.Piano 1w,16,0,5,,,,,
,GS,GS.60's E.Piano,24,0,5,,,,,
,GS,GS.Detuned EP 2,8,0,6,,,,,
,GS,GS.E.Piano 2w/Soft FM EP,16,0,6,,,,,
,GS,GS.Coupled Hps.,8,0,7,,,,,
,GS,GS.Harpsi.w,16,0,7,,,,,
,GS,GS.Harpsi.o,24,0,7,,,,,
,GS,GS.Vib.w,8,0,12,,,,,
,GS,GS.Marimba_w,8,0,13,,,,,
,GS,GS.Church Bell,8,0,15,,,,,
,GS,GS.Carillon,9,0,15,,,,,
,GS,GS.Detuned Or.1,8,0,17,,,,,
,GS,GS.60's Organ 1,16,0,17,,,,,
,GS,GS.Organ 4,32,0,17,,,,,
